cal_date,is_open,pretrade_date
20220731,0,20220728
20220730,0,20220728
20220729,1,20220728
20220728,1,20220727
20220727,1,20220726
20220726,1,20220725
20220725,1,20220722
20220724,0,20220721
20220723,0,20220721
20220722,1,20220721
20220721,1,20220720
20220720,1,20220719
20220719,1,20220718
20220718,1,20220715
20220717,0,20220714
20220716,0,20220714
20220715,1,20220714
20220714,1,20220713
20220713,1,20220712
20220712,1,20220711
20220711,1,20220708
20220710,0,20220707
20220709,0,20220707
20220708,1,20220707
20220707,1,20220706
20220706,1,20220705
20220705,1,20220704
20220704,1,20220630
20220703,0,20220629
20220702,0,20220629
20220701,0,20220629
20220630,1,20220629
20220629,1,20220628
20220628,1,20220627
20220627,1,20220624
20220626,0,20220623
20220625,0,20220623
20220624,1,20220623
20220623,1,20220622
20220622,1,20220621
20220621,1,20220620
20220620,1,20220617
20220619,0,20220616
20220618,0,20220616
20220617,1,20220616
20220616,1,20220615
20220615,1,20220614
20220614,1,20220613
20220613,1,20220610
20220612,0,20220609
20220611,0,20220609
20220610,1,20220609
20220609,1,20220608
20220608,1,20220607
20220607,1,20220606
20220606,1,20220602
20220605,0,20220601
20220604,0,20220601
20220603,0,20220601
20220602,1,20220601
20220601,1,20220531
20220531,1,20220530
20220530,1,20220527
20220529,0,20220526
20220528,0,20220526
20220527,1,20220526
20220526,1,20220525
20220525,1,20220524
20220524,1,20220523
20220523,1,20220520
20220522,0,20220519
20220521,0,20220519
20220520,1,20220519
20220519,1,20220518
20220518,1,20220517
20220517,1,20220516
20220516,1,20220513
20220515,0,20220512
20220514,0,20220512
20220513,1,20220512
20220512,1,20220511
20220511,1,20220510
20220510,1,20220506
20220509,0,20220505
20220508,0,20220505
20220507,0,20220505
20220506,1,20220505
20220505,1,20220504
20220504,1,20220503
20220503,1,20220429
20220502,0,20220428
20220501,0,20220428
20220430,0,20220428
20220429,1,20220428
20220428,1,20220427
20220427,1,20220426
20220426,1,20220425
20220425,1,20220422
20220424,0,20220421
20220423,0,20220421
20220422,1,20220421
20220421,1,20220420
20220420,1,20220419
20220419,1,20220414
20220418,0,20220413
20220417,0,20220413
20220416,0,20220413
20220415,0,20220413
20220414,1,20220413
20220413,1,20220412
20220412,1,20220411
20220411,1,20220408
20220410,0,20220407
20220409,0,20220407
20220408,1,20220407
20220407,1,20220406
20220406,1,20220404
20220405,0,20220401
20220404,1,20220401
20220403,0,20220331
20220402,0,20220331
20220401,1,20220331
20220331,1,20220330
20220330,1,20220329
20220329,1,20220328
20220328,1,20220325
20220327,0,20220324
20220326,0,20220324
20220325,1,20220324
20220324,1,20220323
20220323,1,20220322
20220322,1,20220321
20220321,1,20220318
20220320,0,20220317
20220319,0,20220317
20220318,1,20220317
20220317,1,20220316
20220316,1,20220315
20220315,1,20220314
20220314,1,20220311
20220313,0,20220310
20220312,0,20220310
20220311,1,20220310
20220310,1,20220309
20220309,1,20220308
20220308,1,20220307
20220307,1,20220304
20220306,0,20220303
20220305,0,20220303
20220304,1,20220303
20220303,1,20220302
20220302,1,20220301
20220301,1,20220228
20220228,1,20220225
20220227,0,20220224
20220226,0,20220224
20220225,1,20220224
20220224,1,20220223
20220223,1,20220222
20220222,1,20220221
20220221,1,20220218
20220220,0,20220217
20220219,0,20220217
20220218,1,20220217
20220217,1,20220216
20220216,1,20220215
20220215,1,20220214
20220214,1,20220211
20220213,0,20220210
20220212,0,20220210
20220211,1,20220210
20220210,1,20220209
20220209,1,20220208
20220208,1,20220207
20220207,1,20220204
20220206,0,20220131
20220205,0,20220131
20220204,1,20220131
20220203,0,20220128
20220202,0,20220128
20220201,0,20220128
20220131,1,20220128
20220130,0,20220127
20220129,0,20220127
20220128,1,20220127
20220127,1,20220126
20220126,1,20220125
20220125,1,20220124
20220124,1,20220121
20220123,0,20220120
20220122,0,20220120
20220121,1,20220120
20220120,1,20220119
20220119,1,20220118
20220118,1,20220117
20220117,1,20220114
20220116,0,20220113
20220115,0,20220113
20220114,1,20220113
20220113,1,20220112
20220112,1,20220111
20220111,1,20220110
20220110,1,20220107
20220109,0,20220106
20220108,0,20220106
20220107,1,20220106
20220106,1,20220105
20220105,1,20220104
20220104,1,20220103
20220103,1,20211231
20220102,0,20211230
20220101,0,20211230
20211231,1,20211230
20211230,1,20211229
20211229,1,20211228
20211228,1,20211224
20211227,0,20211223
20211226,0,20211223
20211225,0,20211223
20211224,1,20211223
20211223,1,20211222
20211222,1,20211221
20211221,1,20211220
20211220,1,20211217
20211219,0,20211216
20211218,0,20211216
20211217,1,20211216
20211216,1,20211215
20211215,1,20211214
20211214,1,20211213
20211213,1,20211210
20211212,0,20211209
20211211,0,20211209
20211210,1,20211209
20211209,1,20211208
20211208,1,20211207
20211207,1,20211206
20211206,1,20211203
20211205,0,20211202
20211204,0,20211202
20211203,1,20211202
20211202,1,20211201
20211201,1,20211130
20211130,1,20211129
20211129,1,20211126
20211128,0,20211125
20211127,0,20211125
20211126,1,20211125
20211125,1,20211124
20211124,1,20211123
20211123,1,20211122
20211122,1,20211119
20211121,0,20211118
20211120,0,20211118
20211119,1,20211118
20211118,1,20211117
20211117,1,20211116
20211116,1,20211115
20211115,1,20211112
20211114,0,20211111
20211113,0,20211111
20211112,1,20211111
20211111,1,20211110
20211110,1,20211109
20211109,1,20211108
20211108,1,20211105
20211107,0,20211104
20211106,0,20211104
20211105,1,20211104
20211104,1,20211103
20211103,1,20211102
20211102,1,20211101
20211101,1,20211029
20211031,0,20211028
20211030,0,20211028
20211029,1,20211028
20211028,1,20211027
20211027,1,20211026
20211026,1,20211025
20211025,1,20211022
20211024,0,20211021
20211023,0,20211021
20211022,1,20211021
20211021,1,20211020
20211020,1,20211019
20211019,1,20211018
20211018,1,20211015
20211017,0,20211013
20211016,0,20211013
20211015,1,20211013
20211014,0,20211012
20211013,1,20211012
20211012,1,20211011
20211011,1,20211008
20211010,0,20211007
20211009,0,20211007
20211008,1,20211007
20211007,1,20211006
20211006,1,20211005
20211005,1,20211004
20211004,1,20210930
20211003,0,20210929
20211002,0,20210929
20211001,0,20210929
20210930,1,20210929
20210929,1,20210928
20210928,1,20210927
20210927,1,20210924
20210926,0,20210923
20210925,0,20210923
20210924,1,20210923
20210923,1,20210921
20210922,0,20210920
20210921,1,20210920
20210920,1,20210917
20210919,0,20210916
20210918,0,20210916
20210917,1,20210916
20210916,1,20210915
20210915,1,20210914
20210914,1,20210913
20210913,1,20210910
20210912,0,20210909
20210911,0,20210909
20210910,1,20210909
20210909,1,20210908
