ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
00013.HK,和记黄埔,和记黄埔有限公司,Hutchison Whampoa Limited.,HJHP,主板,D,19780103,20150603,1000.0,HK0013000119,HKD
00033.HK,依利安达,依利安达国际集团有限公司,Elec & Eltek International Holdings Limited,YLAD,主板,D,19840321,20050321,,,HKD
00044.HK,香港飞机工程,香港飞机工程有限公司,Hong Kong Aircraft Engineering Co. Ltd.,XGFJGC,主板,D,19650608,20181129,400.0,HK0044000302,HKD
00048.HK,联洲国际,联洲国际集团有限公司,Egana Gold Pfeil (Holdings) Limited,LZGJ,主板,D,19930625,20120104,2000.0,KYG2943E1329,HKD
00049.HK,会德丰地产,会德丰地产有限公司,Wheelock Properties Limited,HDFDC,主板,D,19881116,20100722,5000.0,HK0049009647,HKD
00054.HK,合和实业,合和实业有限公司,Hopewell Holdings Limited,HHSY,主板,D,19720821,20190503,500.0,HK0000051067,HKD
00065.HK,盈科保险,富通亚洲控股有限公司,Fortis Asia Holdings Limited,YKBX,主板,D,19990707,20070815,2000.0,KYG281861073,HKD
00066.HK,连卡佛国际A,连卡佛国际有限公司,LANE CRAWFORD INTERNATIONAL LIMITED,LKFGJA,主板,D,,19990730,,,HKD
00067.HK,华光海运,华光海运控股有限公司,Maritime Transport Holdings Limited,HGHY,主板,D,20080611,20080606,500.0,,HKD
00067.HK,上海地产,上海地产控股有限公司,Shanghai Land Holdings Limited,SHDC,主板,D,,20051011,2000.0,KYG569761060,HKD
00073.HK,第一珍宝,第一珍宝（集团）有限公司,Alpha General (holdings) Limited,DYZB,主板,D,19970807,20050110,2000.0,,HKD
00074.HK,长城科技股份,长城科技股份有限公司,Great Wall Technology Company Limited,CCKJGF,主板,D,19990805,20140711,2000.0,CNE100000346,HKD
00077.HK,联邦地产,联邦地产有限公司,Realty Development Corporation Limited,LBDC,主板,D,,20030320,,,HKD
00080.HK,邵氏,邵氏兄弟(香港)有限公司,Shaw Brothers（Hong Kong）Limited,SS,主板,D,19701015,20090319,1000.0,HK0080000489,HKD
00090.HK,金禾国际,金禾国际控股有限公司,GOLD WO INTERNATIONAL HOLDINGS LIMITED,JHGJ,主板,D,20010412,20040930,4000.0,,HKD
00096.HK,永隆银行,永隆银行有限公司,Wing Lung Bank Limited,YLYH,主板,D,19800327,20090116,100.0,HK0096000564,HKD
00098.HK,南联实业,南联实业有限公司,"Winsor Industrial Corporation, Limited",NLSY,主板,D,19691001,20061222,500.0,,HKD
00121.HK,卜蜂莲花,卜蜂莲花有限公司,C.P. Lotus Corporation,BFLH,主板,D,19810327,20191029,10000.0,KYG2500L1077,HKD
00140.HK,三元集团,三元集团有限公司,Sanyuan Group Limited,SYJT,主板,D,19721127,20091224,5000.0,HK0140028264,HKD
00170.HK,中国资本,中国资本(控股)有限公司,China Assets (Holdings) Ltd.,ZGZB,主板,D,19920415,20171107,5000.0,HK0170000860,HKD
00183.HK,中信国际金融,中信国际金融控股有限公司,CITIC International Financial Holdings Limited,ZXGJJR,主板,D,19800717,20081105,1000.0,,HKD
00189.HK,KWONG SANG HONG,广生行国际有限公司,The Kwong Sang Hong International Limited,KWONGSANGH,主板,D,19411013,20050203,,,HKD
00192.HK,圣安娜控股,圣安娜控股有限公司,Saint Honore Holdings Limited,SANKG,主板,D,20001121,20070223,2000.0,,HKD
00192.HK,连卡佛国际B,连卡佛国际有限公司,LANE CRAWFORD INTERNATIONAL LIMITED,LKFGJB,主板,D,,19990730,,,HKD
00203.HK,骏威汽车,骏威汽车有限公司,Denway Motors Limited,JWQC,主板,D,19930222,20100826,2000.0,HK0203009524,HKD
00223.HK,道亨银行,道亨银行集团有限公司,Dao Heng Bank Group Limited,DHYH,主板,D,,20010904,,,HKD
00228.HK,联邦地产B,联邦地产有限公司,Realty Development Corporation Limited,LBDCB,主板,D,,20000904,,,HKD
00238.HK,利星行,利星行有限公司,Lei Shing Hong Limited,LXH,主板,D,19730306,20080317,1000.0,,HKD
00246.HK,恒基中国,恒基中国集团有限公司,Henderson China Holdings Limited,HJZG,主板,D,19960328,20050815,500.0,,HKD
00249.HK,哈尔滨啤酒集团,哈尔滨啤酒集团有限公司,Harbin Brewery Group Limited,HEBPJJT,主板,D,20020627,20041119,2000.0,,HKD
00268.HK,TOP GLORY INT'L,鹏利国际集团有限公司,TOP Glory International Holdings Limited,TOPGLORYIN,主板,D,,20030814,,,HKD
00283.HK,高银地产,高银地产控股有限公司,Goldin Properties Holdings Limited,GYDC,主板,D,19730227,20170818,2000.0,HK0283012463,HKD
00285.HK,中国特种纤维,中国特种纤维控股有限公司,China Specialised Fibre Holdings Limited,ZGTZXW,主板,D,20001115,20051017,4000.0,,HKD
00288.HK,合和香港房地产,合和香港房地产有限公司,Hopewell Hong Kong Properties Limited,HHXGFDC,主板,D,20130619,20130613,200.0,,HKD
00288.HK,科士威集团,科士威集团有限公司,Cosway Corporation Limited,KSWJT,主板,D,,20120604,5000.0,HK0288009266,HKD
00300.HK,昆明机床,沈机集团昆明机床股份有限公司,Shenji Group Kunming Machine Tool Company Limited,KMJC,主板,D,19931207,20190826,2000.0,CNE1000003L1,HKD
00301.HK,新福港建设,新富港建设集团有限公司,SFK Construction Holdings Limited,XFGJS,主板,D,20080131,20080129,1000.0,,HKD
00301.HK,新世界信息科技,新世界信息科技有限公司,New World TMT Limited,XSJXXKJ,主板,D,19951027,20060221,200.0,,HKD
00302.HK,永亨银行,华侨永亨银行有限公司,OCBC Wing Hang Bank Limited,YHYH,主板,D,19930702,20141016,500.0,HK0302001547,HKD
00304.HK,宜进利(集团),宜进利（集团）有限公司,Peaca Mark (Holdings) Limited,YJLJT,主板,D,19930218,20110729,2000.0,BMG6957A2098,HKD
00312.HK,易通控股,易通控股有限公司,EZCOM Holdings Limated,YTKG,主板,D,19921126,20070727,2000.0,,HKD
00319.HK,勤美达国际,勤美达国际控股有限公司,China Metal International Holdings Inc.,QMDGJ,主板,D,20041231,20171009,2000.0,KYG2110X1034,HKD
00325.HK,创生控股,创生控股有限公司,Trauson Holdings Company Limited,CSKG,主板,D,20100629,20130715,1000.0,KYG901371032,HKD
00325.HK,北京燕化石油化工,中国石化北京燕化石油化工股份有限公司,Sinopec Beijing Yanhua Petrochemical Company Limited,BJYHSYHG,主板,D,19970625,20050511,2000.0,,HKD
00327.HK,正中药业,正中药业国际有限公司,Shanxi Central Pharmaceutical International Limited,ZZYY,主板,D,20000725,20050406,2000.0,,HKD
00331.HK,春天百货,中国春天百货集团有限公司,PCD Stores (Group) Limited,CTBH,主板,D,20091215,20131205,2000.0,KYG6956E1035,HKD
00331.HK,华润万众电话,华润万众电话有限公司,China Resources Peoples Telephone Company Limited,HRWZDH,主板,D,20040401,20060329,500.0,,HKD
00349.HK,工银亚洲,中国工商银行(亚洲)有限公司,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED,GYYZ,主板,D,19730314,20101221,1000.0,HK0349001625,HKD
00350.HK,经纬纺织机械股份,经纬纺织机械股份有限公司,Jingwei Textile Machinery Company Limited,JWFZJXGF,主板,D,19960202,20151229,2000.0,CNE1000003N7,HKD
00368.HK,中外运航运,中外运航运有限公司,Sinotrans Shipping Ltd.,ZWYHY,主板,D,20071123,20190116,500.0,HK0368041528,HKD
00368.HK,吉林化学工业股份,吉林化学工业股份有限公司,Jilin Chemical Industrial Company Limited,JLHXGYGF,主板,D,19950523,20060123,,,HKD
00382.HK,威灵控股,威灵控股有限公司,Welling Holding Limited,WLKG,主板,D,19931220,20180220,2000.0,HK0000080694,HKD
00389.HK,泰兴光学集团,泰兴光学集团有限公司,Moulin Global Eyecare Holdings Limited,TXGXJT,主板,D,19931005,20070709,2000.0,,HKD
00394.HK,源库资源,源库资源有限公司,Resourcehouse Limited,YKZY,主板,D,20110610,20110608,1000.0,,HKD
00396.HK,均来集团,均来集团有限公司,Gold-Face Holdings Limited,JLJT,主板,D,19931015,20060920,2000.0,,HKD
00401.HK,上海华博,上海华博控股有限公司,401 Holdings Limited,SHHB,主板,D,19930203,20050621,20000.0,,HKD
00404.HK,新昌集团控股,新昌集团控股有限公司,Hsin Chong Group Holdings Limited,XCJTKG,主板,D,19910814,20191231,2000.0,BMG4634Z1014,HKD
00409.HK,四通控股,四通控股有限公司,Stone Group Holdings Limited,STKG,主板,D,19930816,20091107,2000.0,HK0409001762,HKD
00416.HK,海湾控股,海湾控股有限公司,GST Holdings Limited,HWKG,主板,D,20050630,20091218,800000.0,KYG4160F1072,HKD
00438.HK,太平协和,太平协和集团有限公司,Pacific Concord Holding Limited,TPXH,主板,D,,20031023,,,HKD
00448.HK,汉登控股,汉登集团控股有限公司,Hang Ten Group Holdings Limited,HDKG,主板,D,19871030,20120320,2000.0,BMG428561234,HKD
00453.HK,三希科技,三希科技有限公司,3CEMS Corporation,SXKJ,主板,D,20050128,20050127,2000.0,,HKD
00457.HK,凹凸科技,凹凸科技有限公司,O2Micro International Limited,ATKJ,主板,D,20060302,20090910,2000.0,KYG6797E1061,HKD
00477.HK,奥普集团控股,奥普集团控股有限公司,AUPU Group Holding Company Limited,APJTKG,主板,D,20061208,20160930,4000.0,KYG063571007,HKD
00501.HK,庆丰金集团,庆丰金集团有限公司,,QFJJT,主板,D,19961202,20050926,2000.0,,HKD
00502.HK,环新国际,环新国际有限公司,Pan Sino International Holding Limited,HXGJ,主板,D,20060301,20110919,5000.0,KYG6891C1050,HKD
00503.HK,中国永乐,中国永乐电器销售有限公司,China Paradise Electronics Retail Limited,ZGYL,主板,D,20051014,20070131,2000.0,,HKD
00504.HK,HSBC CHINA FUND,汇丰中国基金有限公司,The HSBC China Fund Limited,HSBC,主板,D,19920618,20050422,50000.0,,HKD
00516.HK,瀚智集团,瀚智集团有限公司,Pyxis Group Limited,HZJT,主板,D,19920903,20150217,2000.0,BMG7303E1012,HKD
00540.HK,THAI-ASIA F LTD,"Thai-Asia Fund Ltd., The",The Thai-Asia Fund Limited,THAI-ASIAF,主板,D,19891115,20060314,400.0,,HKD
00543.HK,THAIASSET F PRE,"Thai Asset Fund Ltd.,The - Participating Preference Shares",The Thai Asset Fund Limited,THAIASSETF,主板,D,19891129,20060128,100.0,,HKD
00549.HK,奇峰化纤,吉林奇峰化纤股份有限公司,"Jinlin Qifeng Chemical Fiber Co.,Ltd..",QFHX,主板,D,20060621,20170616,2000.0,CNE1000003M9,HKD
00562.HK,保昌控股,保昌控股有限公司,Baltrans Holdings Limited,BCKG,主板,D,19920501,20080409,2000.0,,HKD
00566.HK,汉能薄膜发电,汉能薄膜发电集团有限公司,Hanergy Thin Film Power Group Limited,HNBMFD,主板,D,19960129,20190611,2000.0,BMG4288J1062,HKD
00569.HK,中国自动化,中国自动化集团有限公司,China Automation Group Limited,ZGZDH,主板,D,20070712,20191029,1000.0,KYG2112N1117,HKD
00586.HK,科维控股,科维控股有限公司,Goldwiz Holdings Limited,KWKG,主板,D,19900712,20080908,2000.0,,HKD
00589.HK,宝国国际,宝国国际控股有限公司,Portico International Holdings Limited,BGGJ,主板,D,20031031,20180824,500.0,BMG7183G1015,HKD
