ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
00001.HK,长和,长江和记实业有限公司,CK Hutchison Holdings Ltd.,CH,主板,L,19721101,,500.0,KYG217651051,HKD
00002.HK,中电控股,中电控股有限公司,CLP Holdings Limited,ZDKG,主板,L,19210101,,500.0,HK0002007356,HKD
00003.HK,香港中华煤气,香港中华煤气有限公司,Hong Kong And China Gas Company Limited,XGZHMQ,主板,L,19600411,,1000.0,HK0003000038,HKD
00004.HK,九龙仓集团,九龙仓集团有限公司,The Wharf (Holdings) Limited,JLCJT,主板,L,19210101,,1000.0,HK0004000045,HKD
00005.HK,汇丰控股,汇丰控股有限公司,HSBC Holdings plc,HFKG,主板,L,19210101,,400.0,GB0005405286,HKD
00006.HK,电能实业,电能实业有限公司,Power Assets Holdings Limited,DNSY,主板,L,19760816,,500.0,HK0006000050,HKD
00007.HK,香港金融集团,香港金融投资控股集团有限公司,Hong Kong Finance Investment Holding Group Limited,XGJRJT,主板,L,20000908,,2000.0,BMG4643R1088,HKD
00008.HK,电讯盈科,电讯盈科有限公司,PCCW Limited,DXYK,主板,L,19941018,,1000.0,HK0008011667,HKD
00009.HK,九号运通,九号运通有限公司,Nine Express Limited,JHYT,主板,L,20010912,,6000.0,BMG6547Y1057,HKD
00010.HK,恒隆集团,恒隆集团有限公司,Hang Lung Group Ltd.,HLJT,主板,L,19721012,,1000.0,HK0010000088,HKD
00011.HK,恒生银行,恒生银行有限公司,Hang Seng Bank Limited,HSYH,主板,L,19720620,,100.0,HK0011000095,HKD
00012.HK,恒基地产,恒基兆业地产有限公司,Henderson Land Development Company Limited,HJDC,主板,L,19810723,,1000.0,HK0012000102,HKD
00014.HK,希慎兴业,希慎兴业有限公司,Hysan Development Company Limited,XSXY,主板,L,19810918,,1000.0,HK0014000126,HKD
00015.HK,盈信控股,盈信控股有限公司,Vantage International (Holdings) Limited,YXKG,主板,L,20000908,,2000.0,BMG932121434,HKD
00016.HK,新鸿基地产,新鸿基地产发展有限公司,Sun Hung Kai Properties Limited,XHJDC,主板,L,19720908,,500.0,HK0016000132,HKD
00017.HK,新世界发展,新世界发展有限公司,New World Development Company Limited,XSJFZ,主板,L,19721123,,1000.0,HK0017000149,HKD
00018.HK,东方报业集团,东方报业集团有限公司,Oriental Press Group Ltd,DFBYJT,主板,L,19870818,,2000.0,HK0018000155,HKD
00019.HK,太古股份公司A,太古股份有限公司A,Swire Pacific Limited A,TGGFGSA,主板,L,19590414,,500.0,HK0019000162,HKD
00020.HK,会德丰,会德丰有限公司,Wheelock And Company Limited,HDF,主板,L,19830103,,1000.0,HK0020000177,HKD
00021.HK,大中华地产控股,大中华地产控股有限公司,Great China Properties Holdings Limited,DZHDCKG,主板,L,19540301,,5000.0,HK0000132420,HKD
00022.HK,茂盛控股,茂盛控股有限公司,Mexan Limited,MSKG,主板,L,19721214,,40000.0,BMG6051D1175,HKD
00023.HK,东亚银行,东亚银行有限公司,The Bank Of East Asia Limited,DYYH,主板,L,19210101,,200.0,HK0023000190,HKD
00024.HK,宝威控股,宝威控股有限公司,Burwill Holdings Limited,BWKG,主板,L,19830915,,2000.0,BMG1808K1009,HKD
00025.HK,CHEVALIER INT'L,其士国际集团有限公司,Chevalier International Holdings Limited,CHEVALIERI,主板,L,19841205,,2000.0,BMG2097Z1471,HKD
00026.HK,中华汽车,中华汽车有限公司,China Motor Bus Company Limited,ZHQC,主板,L,19620101,,200.0,HK0026000205,HKD
00027.HK,银河娱乐,银河娱乐集团有限公司,Galaxy Entertainment Group Limited,YHYL,主板,L,19911007,,1000.0,HK0027032686,HKD
00028.HK,天安,天安中国投资有限公司,Tian An China Investments Company Limited,TA,主板,L,19870318,,1000.0,HK0028013271,HKD
00029.HK,达力集团,达力集团有限公司,Dynamic Holdings Limited,DLJT,主板,L,19730125,,2000.0,BMG2889K1678,HKD
00030.HK,万隆控股集团,万隆控股集团有限公司,Ban Loong Holdings Ltd.,WLKGJT,主板,L,19911009,,2000.0,BMG0865U1009,HKD
00031.HK,航天控股,中国航天国际控股有限公司,China Aerospace International Holdings Limited,HTKG,主板,L,19810825,,2000.0,HK0031044180,HKD
00032.HK,港通控股,港通控股有限公司,The Cross-Harbour(Holdings) Limited,GTKG,主板,L,19740730,,1000.0,HK0032009356,HKD
00033.HK,云铜股份,中国云铜股份有限公司,China Cloud Copper Company Limited,YTGF,主板,L,20071119,,6000.0,KYG0541D1007,HKD
00034.HK,九龙建业,九龙建业有限公司,Kowloon Development Company Limited,JLJY,主板,L,19950704,,1000.0,HK0034000254,HKD
00035.HK,远东发展,远东发展有限公司,Far East Consortium International Limited,YDFZ,主板,L,19720921,,1000.0,KYG3307Z1090,HKD
